fold,site,state,n_inducing,r2_log,r2_orig,base_scale,summer_scale,winter_scale,seasonal_scale,aot_period_days,smog_period_days,residual_period_days,noise
0,108720_47582,MT,4096,0.401627175501724,0.3721768159004549,0.3683302104473114,0.6340910196304321,0.6024359464645386,0.682301938533783,408.4662529637684,418.17781747294583,395.28782794635873,0.7296869158744812
2,108512_45780,MT,4096,0.07943327364630126,0.19986155841522235,0.3714413344860077,0.6396230459213257,0.6010233759880066,0.6896630525588989,405.77878219205724,416.1134344906954,394.6898584069337,0.7294100522994995
3,105103_48308,MT,4096,0.17316772980783746,0.20118128617901365,0.366842657327652,0.6333188414573669,0.6073607206344604,0.6821846961975098,411.13533059322197,418.90901942633786,398.78098427936726,0.7299031019210815
